Date,US,Dev_exUS,EM,BTC
2020-06-23,3131.2900390625,36.45526123046875,36.80095672607422,9629.658203125
2020-06-24,3050.330078125,35.482181549072266,36.31388854980469,9313.6103515625
2020-06-25,3083.760009765625,36.03948974609375,36.467227935791016,9264.8134765625
2020-06-26,3009.050048828125,35.393714904785156,36.02524948120117,9162.91796875
2020-06-29,3053.239990234375,35.81834030151367,36.18760681152344,9190.8544921875
2020-06-30,3100.2900390625,35.73871994018555,36.07035446166992,9137.9931640625
2020-07-01,3115.860107421875,36.0306396484375,36.476253509521484,9228.3251953125
2020-07-02,3130.010009765625,36.36680221557617,37.30607986450195,9123.41015625
2020-07-06,3179.719970703125,37.03911590576172,38.91160202026367,9375.474609375
2020-07-07,3145.320068359375,36.45526123046875,38.262168884277344,9252.27734375
2020-07-08,3169.93994140625,36.86219024658203,39.254356384277344,9428.3330078125
2020-07-09,3152.050048828125,36.34910583496094,39.254356384277344,9277.9677734375
2020-07-10,3185.0400390625,36.747188568115234,39.00180435180664,9278.8076171875
2020-07-13,3155.219970703125,36.57026290893555,38.7402229309082,9243.6142578125
2020-07-14,3197.52001953125,37.171810150146484,38.79434585571289,9243.2138671875
2020-07-15,3226.56005859375,37.64950942993164,38.91160202026367,9192.8369140625
2020-07-16,3215.570068359375,37.47257995605469,38.36138916015625,9132.2275390625
2020-07-17,3224.72998046875,37.720272064208984,38.577877044677734,9151.392578125
2020-07-20,3251.840087890625,37.9591178894043,39.0739631652832,9164.2314453125
2020-07-21,3257.300048828125,38.074119567871094,39.43475341796875,9374.8876953125
2020-07-22,3276.02001953125,38.189117431640625,39.26337814331055,9525.36328125
2020-07-23,3235.659912109375,37.87065505981445,38.94768142700195,9581.072265625
2020-07-24,3215.6298828125,37.60527038574219,38.91160202026367,9536.892578125
2020-07-27,3239.409912109375,37.976810455322266,39.51593017578125,10990.873046875
2020-07-28,3218.43994140625,37.83527374267578,39.191219329833984,10912.8232421875
2020-07-29,3258.43994140625,38.268733978271484,39.822608947753906,11100.4677734375
2020-07-30,3246.219970703125,37.70257568359375,39.3174934387207,11111.2138671875
2020-07-31,3271.1201171875,36.89756774902344,39.046905517578125,11323.466796875
2020-08-03,3294.610107421875,37.60527038574219,39.3174934387207,11246.3486328125
2020-08-04,3306.510009765625,37.71142578125,39.84064483642578,11205.892578125
2020-08-05,3327.77001953125,37.897193908691406,40.27360534667969,11747.0224609375
2020-08-06,3349.159912109375,37.976810455322266,40.39988327026367,11779.7734375
2020-08-07,3351.280029296875,37.74680709838867,39.57005310058594,11601.47265625
2020-08-10,3360.469970703125,37.84412384033203,39.66926574707031,11878.111328125
